filename,chroma stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49
../Trainingdata/VocalSound/Cough\f0003_0_cough.wav,0.44538492,0.05781354,2765.081801765089,2458.9475347806915,5434.813913587707,0.16381701053176795,-359.6344,47.695026,-16.26441,-2.3041904,-5.7158136,-2.537641,-9.8036,-3.6520734,-13.074856,1.422375,-5.7515674,-8.506165,-7.398351,2.539509,-1.8492745,-9.980159,-9.66753,-2.0441496,-8.381275,-0.9659685,-3.2721584,-1.2960782,-1.9788512,-1.6272547,-6.522583,5.459683,-1.2498369,-1.0241882,-5.478525,-4.6664853,-1.9772781,-0.56093097,0.5984854,-0.14834148,-2.8756313,-0.76464176,-3.089369,0.66407883,-5.190439,-0.62253284,-2.1570523,3.2244751,-1.0513126,0.2449861,-1.006777,0.2260679,-0.77987593,1.5352042,1.1617994,2.4579673
../Trainingdata/VocalSound/Cough\f0004_0_cough.wav,0.44678286,0.050235894,2581.7975651658057,2040.8009160367142,4812.021656132224,0.32645159390703515,-420.6978,38.912434,-28.796257,14.824744,-16.57674,-4.506166,-15.464098,-4.5510774,-13.898591,-1.8956642,-4.114199,-11.263613,-1.3579898,-3.205426,-7.5150375,-9.24753,-3.1121838,-7.7021847,-4.533544,-0.7443101,-9.522278,-0.26979363,-4.527463,2.6422508,-2.2070804,1.5217508,-0.72493124,-1.8892047,-0.80534685,-4.124555,3.2182865,0.6085153,1.7713656,0.46295112,1.2188358,-0.5899791,-0.50293756,0.29017732,0.7343056,-0.049376003,-0.13093907,-0.046688512,-1.8063906,1.6101884,-0.42949727,1.2155803,-0.5766678,1.4123578,0.103359394,0.19710869
../Trainingdata/VocalSound/Cough\f0007_0_cough.wav,0.45767182,0.044328183,3053.122485277555,2890.035407089804,6491.751511032517,0.1816505225929054,-412.04895,47.443726,4.865891,4.1461267,2.922464,-1.4571934,-6.3261685,-15.562228,1.3943951,5.9386373,-4.0968976,-4.855209,-0.030502545,-0.8244502,-12.37096,-1.4013627,-5.707773,-6.3395214,-5.10934,-2.2849662,-5.4292274,-1.5707288,-2.9911113,0.9993991,-7.4343796,2.0805542,-5.250425,1.753199,-3.3075552,0.89058787,0.3185888,-1.7618092,-1.7788965,0.3267072,-3.867087,0.9330003,-4.2141113,-1.2326128,-1.4619188,-1.7558933,-1.9374068,-0.48698723,-2.314666,-0.60312253,-3.5538504,-1.7426456,-2.158379,-1.3671528,-0.06057832,1.5503904
../Trainingdata/VocalSound/Cough\f0008_0_cough.wav,0.40390474,0.08066896,2644.8342965850925,2533.118565712519,5469.358825683594,0.16059705946180555,-298.10477,59.047478,-12.702957,-4.4361367,-3.5790262,9.368138,-12.6492195,-19.730377,-0.23884995,0.28334236,-13.521188,-10.44909,-13.207504,-8.279744,-15.8048115,-8.390302,-11.675248,0.65144324,-5.6699076,-2.6960237,-5.3344407,0.9254214,-1.3266337,-0.48534924,-2.1962364,5.7552204,-3.9598286,3.7245352,-2.5729284,-1.2058673,-3.5022175,-2.367342,-7.3062277,0.9111433,-3.8818681,-1.9539375,-3.6631758,-0.61849374,-3.130666,-0.61194295,-2.2015557,-1.6384424,-2.3700066,-0.7798342,-1.0447665,0.5195802,-0.49709278,-0.08425111,0.45084655,-0.6147141
../Trainingdata/VocalSound/Cough\f0010_0_cough.wav,0.3583806,0.055663254,1757.1870072714707,1602.8214374925476,3109.555226795709,0.14046029617537314,-361.61115,77.474,-10.89124,4.1660175,-19.459797,1.2937175,-11.20888,-6.192504,-14.313899,10.17361,-1.378463,-4.3671565,-1.4491591,-4.778635,-5.7724857,-4.5633397,-9.708711,-6.834453,-4.702874,-8.098685,-3.690014,-6.287658,-3.5398583,-1.229028,-0.08506921,-1.3652898,-3.9824803,-1.2337741,-3.210221,-5.7502165,-0.8358508,0.87678653,6.545075,0.64681655,2.9906347,1.084386,0.77226055,0.33898434,0.4505546,-0.036097422,-2.7430787,-0.19729951,-3.2904844,0.19572471,-2.0956216,0.38045117,0.46580428,-0.067341365,-1.9084429,-0.7207038
../Trainingdata/VocalSound/Cough\f0015_0_cough.wav,0.5563924,0.010169754,2945.1580289533613,2918.234265836405,6641.20774772299,0.16207011620603015,-457.68475,75.50008,10.171693,1.9229633,-0.1928662,11.176181,7.3112764,0.8597535,-7.687533,5.1305127,-2.2678165,2.9024444,7.062802,9.4466715,-0.6627307,7.0520043,-4.3785944,2.8290386,-4.2586813,-0.738595,-4.0414762,3.6822412,-4.2626305,5.2791104,-5.3268995,3.485828,-5.049764,1.9716572,-2.9836755,-2.9321184,-2.3594623,0.9524546,-1.9159942,0.06498728,-1.6853905,-3.5589533,-4.044544,0.10550652,-1.6285429,-1.0778933,-2.4227972,-2.195312,-2.86231,-0.3461181,-2.8026102,-0.811721,-0.6959009,-1.0024287,-1.0034621,-0.6979697
../Trainingdata/VocalSound/Cough\f0017_0_cough.wav,0.4639793,0.04901254,3210.051274200745,2918.995755631182,6947.070492015166,0.17276539522058823,-404.78778,35.237965,-4.7558694,3.186425,1.8779613,3.3790426,-12.297555,-3.3494716,-4.0733633,5.333083,-1.859335,-5.5355678,-3.6820471,-2.6501577,-5.5489955,-5.189578,-7.0369835,-0.011963059,-5.7855263,-1.7835451,-1.4211181,-0.5097202,-3.2579534,-0.0049064863,-6.062992,-2.6173732,-4.7999344,-1.0220844,-1.229535,-0.019672394,-2.2312381,-0.16403621,-2.7648036,-0.00809619,-4.178467,-0.19729424,-3.8453958,-1.8312072,-1.7955999,-0.44386002,-0.51622915,1.0533175,-2.2914999,0.64147353,-1.8169538,-0.4853967,-1.1991761,-1.1939428,-0.16221148,-0.34829414
../Trainingdata/VocalSound/Cough\f0027_0_cough.wav,0.38941625,0.038434844,2807.995898621836,2296.787364398436,5148.9772644852455,0.18972899743037136,-371.09708,43.043747,-16.97647,16.564568,0.12484061,1.8933245,0.882677,-21.136168,-9.241026,2.6547995,-9.599705,-8.77171,-9.774467,-7.170552,-10.238847,-10.520706,-11.800803,-3.2095811,-13.751159,-3.5869057,0.12865992,-5.4069686,-0.6040825,5.9528117,-0.019076481,-1.2344412,-3.65034,-4.2694983,-7.2154446,1.9522051,-5.4270225,0.39057055,-6.620065,2.4462025,-5.7443814,-0.7722772,-3.584562,-3.0792842,-3.9874792,-1.0165818,-3.034638,-0.836427,-2.3559158,-0.53391874,-1.0271608,1.58177,0.91372097,0.072832696,0.25724468,0.64330804
../Trainingdata/VocalSound/Cough\f0028_0_cough.wav,0.50700825,0.038894784,4053.6275154961695,2761.486518680971,7301.774597167969,0.3123135036892361,-382.54553,19.688381,-29.853373,-3.5614367,-19.26144,-6.914287,-6.625265,1.8875561,3.6395264,3.075384,-3.9418156,0.3067875,-2.854798,1.19677,-10.931149,-9.083961,-8.149248,-0.58768946,-10.259123,5.4150486,-8.7123375,0.9823089,-1.0994258,1.4794508,-3.902474,8.979847,-3.7055588,1.5333751,-5.2440853,-0.47146538,-3.1094904,-0.7485015,-2.5985637,0.91300637,-2.939657,1.0345871,-3.938502,1.7967352,-0.70023495,1.0636122,-3.057565,0.6415235,-2.1117435,0.6808442,-1.6256893,1.1516271,-0.2994939,-0.9463145,-1.4723963,2.0892246
../Trainingdata/VocalSound/Cough\f0029_0_cough.wav,0.38966686,0.05988075,2617.0146764681667,2724.287379726463,5886.593783103814,0.12565793829449154,-309.8138,86.03838,2.5374122,12.416343,7.424479,3.975199,-8.45273,1.7804577,-0.44176775,0.51827246,-1.6363794,-2.6082926,-6.276471,2.3365717,-1.1317492,1.8992429,-3.910464,-0.24733974,-8.149321,2.6591437,-5.4009986,-0.84036195,-10.940788,0.7321301,-5.287002,-1.4363118,-6.0875025,-1.323017,-1.7651763,0.5010105,-2.0382638,-1.2379724,-1.3340485,1.168573,-0.45233193,0.4066191,0.15042509,2.765057,0.3890361,0.9691922,0.0488094,0.012858057,-0.48796412,0.37382957,0.836987,-0.58696324,-2.33721,-0.78059846,-1.4978973,-1.3509965
